miRBase,CID,Correlation
MIMAT0000824,5743,1
MIMAT0000824,2236,1
MIMAT0001816,74483,1
MIMAT0000101,969516,1
MIMAT0000101,3385,1
MIMAT0000102,5793,1
MIMAT0004856,443586,1
MIMAT0012825,3028194,1
MIMAT0012825,3121,1
MIMAT0000103,5311,1
MIMAT0000103,448537,1
MIMAT0000103,3385,1
MIMAT0000103,6623,1
MIMAT0000103,712,1
MIMAT0000103,2375,1
MIMAT0000385,442428,1
MIMAT0000385,2733526,1
MIMAT0000385,5757,1
MIMAT0000386,5757,1
MIMAT0000386,5281004,1
MIMAT0000386,12967,1
MIMAT0000386,210332,1
MIMAT0000680,985,1
MIMAT0000680,448537,1
MIMAT0000680,3385,1
MIMAT0000680,6623,1
MIMAT0000680,712,1
MIMAT0000680,119307,1
MIMAT0000680,451668,1
MIMAT0000680,5280795,1
MIMAT0000680,444732,1
MIMAT0000825,6440495,1
MIMAT0004672,969516,1
MIMAT0000104,5288826,1
MIMAT0000104,444795,1
MIMAT0000104,451668,1
MIMAT0000104,444732,1
MIMAT0000104,5757,1
MIMAT0000104,712,1
MIMAT0000104,119307,1
MIMAT0000647,5757,1
MIMAT0000647,5793,1
MIMAT0000647,8490,1
MIMAT0000647,6410,1
MIMAT0000826,5743,1
MIMAT0000826,2236,1
MIMAT0001817,74483,1
MIMAT0001817,15625,1
MIMAT0000253,3385,1
MIMAT0000253,5310940,1
MIMAT0000253,712,1
MIMAT0000253,444795,1
MIMAT0000253,14888,1
MIMAT0000648,6036,1
MIMAT0000648,702,1
MIMAT0000648,210332,1
MIMAT0000782,445154,1
MIMAT0000782,2236,1
MIMAT0001267,74483,1
MIMAT0004555,3385,1
MIMAT0000253,97226,1
MIMAT0000782,6440495,1
MIMAT0000782,3779,1
MIMAT0000782,4946,1
MIMAT0000782,444254,1
MIMAT0000208,443586,1
MIMAT0000208,6036,1
MIMAT0000208,702,1
MIMAT0000208,8490,1
MIMAT0000254,241,1
MIMAT0000254,5757,1
MIMAT0000254,712,1
MIMAT0000254,14888,1
MIMAT0000254,5352624,1
